trade_id,market_id,market_title,signal_time,entry_price,model_p,direction,size_usd,size_factor,edge_pp,ensemble_spread,confidence_score,resolution_date,metric,threshold,threshold_high,weather_direction,lat,lon,location_tz,actual_outcome,resolved_at,pnl_usd,brier_score,cumulative_pnl,cumulative_brier,raw_p,model_breakdown_json
c614a2d0,2106425,Precipitation in NYC in May? - Will NYC have less than 2 inches of precipitation in May?,2026-05-01T12:35:15.136493+00:00,0.15,0.27269554916191974,YES,25.0,,0.1227,0.11282051282051282,0.436,2026-05-31T00:00:00+00:00,precipitation_sum,50.8,,below,40.71427,-74.00597,auto,1,2026-06-03T18:20:45.919867+00:00,141.6667,0.529,141.6667,0.529,,
5bc48ce0,2106426,Precipitation in NYC in May? - Will NYC have between 2 and 3 inches of precipitation in May?,2026-05-01T12:35:15.752195+00:00,0.665,0.1870881679827232,NO,25.0,,0.1479,0.019230769230769232,0.904,2026-05-31T00:00:00+00:00,precipitation_sum,50.8,76.19999999999999,range,40.71427,-74.00597,auto,0,2026-06-03T18:20:45.919867+00:00,12.594,0.035,154.2607,0.564,,
1dd3b93a,2106427,Precipitation in NYC in May? - Will NYC have between 3 and 4 inches of precipitation in May?,2026-05-01T12:35:16.275600+00:00,0.655,0.19508513869378008,NO,25.0,,0.1499,0.03076923076923077,0.846,2026-05-31T00:00:00+00:00,precipitation_sum,76.19999999999999,101.6,range,40.71427,-74.00597,auto,0,2026-06-03T18:20:45.919867+00:00,13.1679,0.0381,167.4286,0.6021,,
0aa2e0c2,2106428,Precipitation in NYC in May? - Will NYC have between 4 and 5 inches of precipitation in May?,2026-05-01T12:35:16.804124+00:00,0.755,0.16041613993984266,NO,25.0,,0.0846,0.0782051282051282,0.609,2026-05-31T00:00:00+00:00,precipitation_sum,101.6,127.0,range,40.71427,-74.00597,auto,0,2026-06-03T18:20:45.919867+00:00,8.1126,0.0257,175.5412,0.6278,,
cddb915a,2106924,Precipitation in Seoul in May? - Will Seoul have less than 100mm of precipitation in May?,2026-05-01T12:35:18.401672+00:00,0.355,0.999,YES,25.0,,0.644,0.0,1.0,2026-05-31T00:00:00+00:00,precipitation_sum,100.0,,below,37.566,126.9784,auto,1,2026-06-03T18:20:45.919867+00:00,45.4225,0.0,220.9637,0.6278,,
9c742115,2106925,Precipitation in Seoul in May? - Will Seoul have between 100-110mm of precipitation in May?,2026-05-01T12:35:18.936879+00:00,0.64,0.001,NO,25.0,,0.359,0.0,1.0,2026-05-31T00:00:00+00:00,precipitation_sum,100.0,110.0,range,37.566,126.9784,auto,0,2026-06-03T18:20:45.919867+00:00,14.0625,0.0,235.0262,0.6278,,
6a201d97,2106926,Precipitation in Seoul in May? - Will Seoul have between 110-120mm of precipitation in May?,2026-05-01T12:35:19.470205+00:00,0.685,0.001,NO,25.0,,0.314,0.0,1.0,2026-05-31T00:00:00+00:00,precipitation_sum,110.0,120.0,range,37.566,126.9784,auto,0,2026-06-03T18:20:45.919867+00:00,11.4964,0.0,246.5226,0.6278,,
ef7a4872,2106927,Precipitation in Seoul in May? - Will Seoul have between 120-130mm of precipitation in May?,2026-05-01T12:35:19.996711+00:00,0.675,0.001,NO,25.0,,0.324,0.0,1.0,2026-05-31T00:00:00+00:00,precipitation_sum,120.0,130.0,range,37.566,126.9784,auto,0,2026-06-03T18:20:45.919867+00:00,12.037,0.0,258.5596,0.6278,,
d46842a3,2106928,Precipitation in Seoul in May? - Will Seoul have between 130-140mm of precipitation in May?,2026-05-01T12:35:20.534723+00:00,0.685,0.001,NO,25.0,,0.314,0.0,1.0,2026-05-31T00:00:00+00:00,precipitation_sum,130.0,140.0,range,37.566,126.9784,auto,0,2026-06-03T18:20:45.919867+00:00,11.4964,0.0,270.056,0.6278,,
2301e4df,2106929,Precipitation in Seoul in May? - Will Seoul have between 140-150mm of precipitation in May?,2026-05-01T12:35:21.112819+00:00,0.745,0.001,NO,25.0,,0.254,0.0,1.0,2026-05-31T00:00:00+00:00,precipitation_sum,140.0,150.0,range,37.566,126.9784,auto,0,2026-06-03T18:20:45.919867+00:00,8.557,0.0,278.613,0.6278,,
9f848b7c,2106930,Precipitation in Seoul in May? - Will Seoul have between 150-160mm of precipitation in May?,2026-05-01T12:35:21.630450+00:00,0.745,0.001,NO,25.0,,0.254,0.0,1.0,2026-05-31T00:00:00+00:00,precipitation_sum,150.0,160.0,range,37.566,126.9784,auto,0,2026-06-03T18:20:45.919867+00:00,8.557,0.0,287.17,0.6278,,
1d34fc7d,2106931,Precipitation in Seoul in May? - Will Seoul have 160mm or more of precipitation in May?,2026-05-01T12:35:22.165476+00:00,0.635,0.001,NO,25.0,,0.364,0.0,1.0,2026-05-31T00:00:00+00:00,precipitation_sum,160.0,,above,37.566,126.9784,auto,0,2026-06-03T18:20:45.919867+00:00,14.3701,0.0,301.5401,0.6278,,
35d14883,2106961,Precipitation in Hong Kong in May? - Will Hong Kong have less than 180mm of precipitation in May?,2026-05-01T12:35:22.678115+00:00,0.35,0.9812035024443606,YES,25.0,,0.6312,0.01232051282051283,0.938,2026-05-31T00:00:00+00:00,precipitation_sum,180.0,,below,22.27832,114.17469,auto,1,2026-06-03T18:20:45.919867+00:00,46.4286,0.0004,347.9687,0.6282,,
f86f9ec5,2106446,Precipitation in London in May? - Will London have less than 5mm of precipitation in May?,2026-05-06T13:47:54.316391+00:00,0.8085,0.001,NO,25.0,,0.1905,0.0,1.0,2026-05-31T00:00:00+00:00,precipitation_sum,5.0,,below,51.50853,-0.12574,auto,1,2026-06-03T18:20:45.919867+00:00,-25.0,0.998,322.9687,1.6262,,
74d2bfce,2106447,Precipitation in London in May? - Will London have between 5-10mm of precipitation in May?,2026-05-06T13:47:56.733692+00:00,0.895,0.0028114815854545865,NO,25.0,,0.1022,0.0,1.0,2026-05-31T00:00:00+00:00,precipitation_sum,5.0,10.0,range,51.50853,-0.12574,auto,0,2026-06-03T18:20:45.919867+00:00,2.933,0.0,325.9017,1.6262,,
